Year,GeoCode,Value
1959,2017,,2.5
1960,2018,,2.4
1970,2015,,2.8
1971,2016,,2.9
1972,2017,,2.6
1973,2018,,2.4
1983,2015,,3.5
1984,2016,,3.1
1985,2017,,3.1
1986,2018,,3.2
1996,2015,,3.4
1997,2016,,3
1998,2017,,2.9
1999,2018,,3.2
2009,2015,,3.9
2010,2016,,3
2011,2017,,3
2012,2018,,2.8
2022,2015,,3.1
2023,2016,,3
2024,2017,,2.8
2025,2018,,2.7
2035,2015,,3.2
2036,2016,,3.2
2037,2017,,3.4
2038,2018,,3.2
2048,2015,,2.9
2049,2016,,3.1
2050,2017,,3.3
2051,2018,,3.5
2061,2015,,3
2062,2016,,3.3
2063,2017,,3.1
2064,2018,,3.4
2074,2015,,3.4
2075,2016,,3.3
2076,2017,,3
2077,2018,,3.1
2087,2015,,3.3
2088,2016,,3.3
2089,2017,,3.1
2090,2018,,2.9
2100,2015,,3.5
2101,2016,,3.4
2102,2017,,3.9
2103,2018,,3.5
2113,2015,,4.3
2114,2016,,3.9
2115,2017,,3.3
2116,2018,,3.5
2126,2015,,3.1
2127,2016,,3
2128,2017,,3.2
2129,2018,,3.1
2139,2015,,3.4
2140,2016,,3.2
2141,2017,,3.2
2142,2018,,2.8
2152,2015,,4.3
2153,2016,,4.5
2154,2017,,3.6
2155,2018,,3.4
2165,2015,,3
2166,2016,,2.9
2167,2017,,2.9
2168,2018,,2.7
2178,2015,,5
2179,2016,,5.2
2180,2017,,4.6
2181,2018,,4.2
2191,2015,,3.7
2192,2016,,3.7
2193,2017,,3
2194,2018,,2.6
2204,2015,,2.7
2205,2016,,2.6
2206,2017,,2.5
2217,2015,,3.9
2218,2016,,3.5
2219,2017,,3.7
2220,2018,,3.4
2230,2015,,2.8
2231,2016,,2.7
2232,2017,,2.5
2233,2018,,2.5
2243,2015,,3
2244,2016,,3.1
2245,2017,,3.2
2246,2018,,3.1
2256,2015,,3.6
2257,2016,,3.6
2258,2017,,3.9
2259,2018,,3.4
2269,2015,,3.2
2270,2016,,3.1
2271,2017,,3.2
2272,2018,,2.9
2282,2015,,3.1
2283,2016,,3.1
2284,2017,,3
2285,2018,,2.9
2295,2015,,3.4
2296,2016,,3.4
2297,2017,,3.1
2298,2018,,3.5
2308,2015,,3.8
2309,2016,,3.2
2310,2017,,3.6
2311,2018,,3.4
2321,2015,,3
2322,2016,,3.4
2323,2017,,2.8
2324,2018,,2.7
2334,2015,,4.1
2335,2016,,3.9
2336,2017,,4.1
2337,2018,,3.5
2347,2015,,3.1
2348,2016,,3.2
2349,2017,,3.7
2350,2018,,3
2360,2015,,3.9
2361,2016,,3.3
2362,2017,,3.3
2363,2018,,3.2
2373,2015,,3.2
2374,2016,,3.3
2375,2017,,2.9
2376,2018,,2.8
2386,2015,,2.8
2387,2016,,3.2
2388,2017,,3
2389,2018,,3.2
2399,2015,,2.8
2400,2016,,2.8
2401,2017,,2.9
2402,2018,,2.6
2412,2015,,3.4
2413,2016,,3.3
2414,2017,,3.1
2415,2018,,2.8
2425,2015,,3.2
2426,2016,,2.9
2427,2017,,2.9
2428,2018,,2.6
2438,2015,,2.8
2439,2016,,2.7
2440,2017,,2.9
2441,2018,,2.7
2451,2015,,3.4
2452,2016,,3.3
2453,2017,,3
2454,2018,,3.1
2464,2015,,2.7
2465,2016,,2.6
2466,2017,,2.8
2467,2018,,2.7
2477,2015,,3.2
2478,2016,,3.1
2479,2017,,2.8
2480,2018,,2.7
2490,2015,,3.3
2491,2016,,3.3
2492,2017,,3
2493,2018,,2.9
2503,2015,,3.2
2504,2016,,3.1
2505,2017,,3.1
2506,2018,,2.8
2516,2015,,3.2
2517,2016,,3.3
2518,2017,,3.2
2519,2018,,3.3
2529,2015,,3.3
2530,2016,,3.3
2531,2017,,3.1
2532,2018,,2.8
2542,2015,,3.5
2543,2016,,3.1
2544,2017,,3.3
2545,2018,,3.3
2555,2015,,4.1
2556,2016,,4.2
2557,2017,,4.3
2558,2018,,4.6
2568,2015,,4.3
2569,2016,,4
2570,2017,,3.7
2571,2018,,3.6
2581,2015,,3.8
2582,2016,,4
2583,2017,,3.3
2584,2018,,3.5
2594,2015,,3.2
2595,2016,,3.5
2596,2017,,2.8
2597,2018,,2.9
2607,2015,,3.2
2608,2016,,3.3
2609,2017,,3.1
2610,2018,,3.1
2620,2015,,3.2
2621,2016,,3
2622,2017,,3.2
2623,2018,,2.8
2633,2015,,2.7
2634,2016,,2.8
2635,2017,,2.7
2636,2018,,2.7
2646,2015,,2.8
2647,2016,,2.8
2648,2017,,2.7
2649,2018,,2.8
2659,2015,,4
2660,2016,,4.3
2661,2017,,4.5
2662,2018,,3.7
2672,2015,,2.6
2673,2016,,2.6
2674,2017,,2.6
2685,2015,,3.1
2686,2016,,2.9
2687,2017,,2.7
2688,2018,,3
2698,2015,,2.9
2699,2016,,2.9
2700,2017,,2.9
2701,2018,,2.7
2711,2015,,2.8
2712,2016,,2.9
2713,2017,,2.7
2714,2018,,2.7
2724,2015,,2.8
2725,2016,,2.8
2726,2017,,2.9
2727,2018,,2.6
2737,2015,,2.8
2738,2016,,2.8
2739,2017,,2.6
2740,2018,,2.6
2750,2015,,3.1
2751,2016,,2.8
2752,2017,,2.6
2753,2018,,2.6
2763,2015,,3
2764,2016,,3.1
2765,2017,,2.7
2766,2018,,2.7
2776,2015,,3.2
2777,2016,,3.2
2778,2017,,3.4
2779,2018,,3.1
2789,2015,,3.4
2790,2016,,3.2
2791,2017,,3
2792,2018,,2.9
2802,2015,,3
2803,2016,,2.6
2804,2017,,2.8
2805,2018,,2.6
2815,2015,,2.9
2816,2016,,3.4
2817,2017,,2.9
2818,2018,,3.1
2828,2015,,3.3
2829,2016,,3.4
2830,2017,,3.5
2831,2018,,2.9
2841,2015,,3.2
2842,2016,,3.3
2843,2017,,3.4
2844,2018,,3.5
2854,2015,,3.2
2855,2016,,2.9
2856,2017,,3.7
2857,2018,,3.2
2867,2015,,3.9
2868,2016,,3.2
2869,2017,,3.1
2870,2018,,3.4
2880,2015,,3.2
2881,2016,,3.2
2882,2017,,3.2
2883,2018,,3
2893,2015,,3.2
2894,2016,,3.2
2895,2017,,3.3
2896,2018,,3.3
2906,2015,,2.7
2907,2016,,2.5
2908,2017,,2.6
2909,2018,,2.4
2919,2015,,2.8
2920,2016,,2.7
2921,2017,,2.5
2922,2018,,2.6
2932,2015,,3
2933,2016,,3
2934,2017,,3
2935,2018,,2.8
2945,2015,,2.7
2946,2016,,3.1
2947,2017,,2.8
2948,2018,,2.8
2958,2015,,3
2959,2016,,3
2960,2017,,3
2961,2018,,2.8
2971,2015,,3.5
2972,2016,,3.5
2973,2017,,3.3
2974,2018,,3.2
2984,2015,,3.3
2985,2016,,3.1
2986,2017,,3.2
2987,2018,,3.1
2997,2015,,3.1
2998,2016,,3.2
2999,2017,,3
3000,2018,,2.9
3010,2015,,2.7
3011,2016,,2.4
3012,2017,,2.7
3013,2018,,2.6
3023,2015,,3
3024,2016,,2.7
3025,2017,,2.8
3026,2018,,2.7
3036,2015,,2.6
3037,2016,,3.2
3038,2017,,2.9
3039,2018,,2.7
3049,2015,,3.2
3050,2016,,3
3051,2017,,2.8
3052,2018,,2.8
3062,2015,,3.1
3063,2016,,3.1
3064,2017,,2.9
3065,2018,,2.7
3075,2015,,3.4
3076,2016,,3.4
3077,2017,,3.4
3078,2018,,3.5
3088,2015,,4.7
3089,2016,,3.7
3090,2017,,3.2
3091,2018,,3.4
3101,2015,,3.3
3102,2016,,3.4
3103,2017,,3
3104,2018,,3.2
3114,2015,,4.1
3115,2016,,3.3
3116,2017,,3.1
3117,2018,,3.6
3127,2015,,2.3
3128,2016,,2.3
3129,2017,,2.4
3130,2018,,2.4
3140,2015,,2.7
3141,2016,,2.6
3142,2017,,2.4
3143,2018,,2.5
3153,2015,,4.3
3154,2016,,3.6
3155,2017,,3.9
3156,2018,,3.4
3166,2015,,3.5
3167,2016,,4.1
3168,2017,,4.1
3169,2018,,3.5
3179,2015,,2.5
3180,2016,,2.6
3181,2017,,2.4
3182,2018,,2.4
3192,2015,,3
3193,2016,,3
3194,2017,,2.7
3195,2018,,2.8
3205,2015,,3.1
3206,2016,,3.1
3207,2017,,3.1
3208,2018,,3.1
3218,2015,,2.6
3219,2016,,2.6
3220,2017,,2.4
3221,2018,,2.5
3231,2015,,3.8
3232,2016,,4.5
3233,2017,,3.4
3234,2018,,3.4
3244,2015,,3
3245,2016,,2.9
3246,2017,,2.9
3247,2018,,3
3257,2015,,3.2
3258,2016,,3.1
3259,2017,,2.8
3260,2018,,2.8
3270,2015,,3.5
3271,2016,,3.1
3272,2017,,3.3
3273,2018,,3.3
3283,2015,,3.1
3284,2016,,3
3285,2017,,2.9
3286,2018,,2.9
3296,2015,,3.4
3297,2016,,3.4
3298,2017,,3.4
3299,2018,,3.1
3309,2015,,3.9
3310,2016,,3.5
3311,2017,,3.4
3312,2018,,3.4
3322,2015,,3.3
3323,2016,,2.9
3324,2017,,3
